"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1788904230650360038","Fri May 10 14:00:25 +0000 2024","0","@Nikolaiigogll dlu ak sih hilang di beacukai mesen lewat shoppe luar negeri trs sm seller nya di balikin duit ku tp 3 bulan kemudian paketnya dtg ke rumah wkwkkwkw ajuin dlu aja coba kalo udh lewat masa pengiriman","1788932106183422255","","Nikolaiigogll","in","rant","0","1","0","https://twitter.com/koyannagi/status/1788932106183422255","1482010054530580484","koyannagi"
"1788837941923774690","Fri May 10 13:59:41 +0000 2024","0","@AlnilamOmar Intel Sipil juga banyak Bu... Karyawan Bea Cukai aja sampai Ketahuan besaran kenaikan Kekayaan selama setahun... Milyaran...","1788931920514179437","","AlnilamOmar","in","","0","0","0","https://twitter.com/Atisuwung/status/1788931920514179437","1492020019336663040","Atisuwung"
"1788931875328917611","Fri May 10 13:59:30 +0000 2024","0","Bayangin nyepong bea cukai riil kasta terendah lelaki","1788931875328917611","","","in","Jakarta Capital Region","0","0","0","https://twitter.com/_muhshidqi/status/1788931875328917611","1100493583","_muhshidqi"
"1788930135049265261","Fri May 10 13:52:35 +0000 2024","14","Dirjen bea cukai hanya sampingan aslinya sih ngepet. https://t.co/yk0VIx70hj","1788930135049265261","https://pbs.twimg.com/media/GNOOecOaUAEWF1C.jpg","","in","Indonesia","1","3","5","https://twitter.com/Rasheed_inn/status/1788930135049265261","1030155475499675648","Rasheed_inn"
"1788904936715239602","Fri May 10 13:48:53 +0000 2024","0","@kegblgnunfaedh Pasti punya orang dalam trus masuk STAN kerja di bea cukai... Good","1788929204765311420","","kegblgnunfaedh","in","jonggol","0","0","0","https://twitter.com/serizagenji/status/1788929204765311420","1396003489","serizagenji"
"1788909314155114565","Fri May 10 13:45:42 +0000 2024","0","@msqrde86 Tp klo beli nya di toko hp gmn bg? Ttp minta invoice nya? Biasanya disuruh cek no ime nya di website beacukai nya ajaaa.","1788928402298491185","","msqrde86","in","ᴄʏʙᴇʀ (sʜᴇ)","0","1","0","https://twitter.com/xxoloxehee/status/1788928402298491185","1598319996433993728","xxoloxehee"
"1788927309506068487","Fri May 10 13:41:21 +0000 2024","0","Jadi ini nutupin kasus bea cukai?","1788927309506068487","","","in","","0","1","2","https://twitter.com/sonkski_/status/1788927309506068487","1602543393921388544","sonkski_"
"1788873432001806619","Fri May 10 13:41:14 +0000 2024","0","@Zer0Failed Bea Cukai dah banyak indikasi gak beres kok dibiarin","1788927280074592555","","Zer0Failed","in","Wanaraja, Indonesia","0","0","0","https://twitter.com/Saldesa_INA/status/1788927280074592555","1699748949513674752","Saldesa_INA"
"1788926970866356616","Fri May 10 13:40:01 +0000 2024","0","Yang jual bea cukai ya?","1788926970866356616","","","in","","0","0","0","https://twitter.com/martabaktldr/status/1788926970866356616","1621539852624998402","martabaktldr"
"1788784174935298484","Fri May 10 13:36:40 +0000 2024","1","@kindatechguys @ernestprakasa bea cukai aja kalau gitu ","1788926127127609637","","kindatechguys","in","Liverpool, England","0","1","0","https://twitter.com/soppyan/status/1788926127127609637","260479234","soppyan"
"1788800423924744641","Fri May 10 13:28:45 +0000 2024","1","@OniMeniq74 Kata bea cukai kan cintailah ploduk ploduk Indonesia","1788924136099897658","","OniMeniq74","in","Wonogiri - Jakarta","0","0","0","https://twitter.com/atma_kpm/status/1788924136099897658","162307938","atma_kpm"
"1788921198233186381","Fri May 10 13:28:16 +0000 2024","0","@OposisiCerdas Kemaren-kemaren heboh orang bea cukai tahan peralatan SLB dan tindakan pemerasan lainnya. Sekarang orang bandara/perhubungan ceriwis alias hidung belang. Gak ada mendingnya.","1788924013475221646","","OposisiCerdas","in","","0","0","0","https://twitter.com/wansrosadi/status/1788924013475221646","1555488754089197568","wansrosadi"
"1788917316442554833","Fri May 10 13:27:07 +0000 2024","3","@Nagashima_007 Bea cukai.. mafia semua broo","1788923726844895403","","Nagashima_007","in","jakarta- Indonesia","0","1","0","https://twitter.com/Gunawan75_/status/1788923726844895403","722413726230384640","Gunawan75_"
"1788896661756145948","Fri May 10 13:25:23 +0000 2024","0","@masgah_ Org pjak beacukai jg suka","1788923289794130355","","masgah_","in","","0","0","0","https://twitter.com/Guyts37414/status/1788923289794130355","1721462539996004352","Guyts37414"
"1788774046949343723","Fri May 10 13:25:19 +0000 2024","0","@aruna_bayu Bea Cukai pakai senapan api dan anjing perusak?","1788923272345850228","","aruna_bayu","in","Ruwetnesia","0","0","0","https://twitter.com/indoSastra/status/1788923272345850228","100723095","indoSastra"
"1788902808105914784","Fri May 10 13:22:15 +0000 2024","0","@dimassaurusss @mazzini_gsp Bea cukai","1788922499671212091","","dimassaurusss","in","","0","0","0","https://twitter.com/pastibisaaa_/status/1788922499671212091","1252434807029547011","pastibisaaa_"
"1788921845372354600","Fri May 10 13:19:39 +0000 2024","0","YES BEACUKAI DOWNFALL SAATNYA NGASIH TAU BUNDA GUE KL PILIHAN DIA ITU JELEK","1788921845372354600","","","in","","0","1","0","https://twitter.com/zkimtaerae/status/1788921845372354600","1349696891664044034","zkimtaerae"
"1788921761880588568","Fri May 10 13:19:19 +0000 2024","4","pnsihat karir shrsnya sarankn ank muda jd: -pgwai bea cukai -politisi -pmuka agama @sakkusaitna @Tita83079013 @agama_nusantara @BayuAngora @spektrumku @Valhallaah @Jelantik5 @bnsphrxyzzz @RefublikAteis @iam_zelt @helenr1903 @Kappa_2023 @PaijoKhentir @_chris_ting_ @Homo_sapiens21","1788921761880588568","","","in","","0","0","1","https://twitter.com/mx00711/status/1788921761880588568","1221737894957568000","mx00711"
"1788921655945052643","Fri May 10 13:18:53 +0000 2024","0","T. Wts wtb want to sell buy jual beli second preloved #khilafclub #lapakcot #zonauang iPhone XR 64GB - fullset OEM - all operator imei terdaftar beacukai - BH 84% - 98% mulus - performa lancar - ga pernah service Tanya2 foto dll cek https://t.co/ZX6pt7HXsM","1788921655945052643","","","in","@sibernasi","0","0","0","https://twitter.com/hauteasfuque/status/1788921655945052643","1069458268030791680","hauteasfuque"
"1788110888396071085","Fri May 10 13:17:40 +0000 2024","0","@Pepatah_dr_Chin @H4l1mun_D1n61n Ya kalo petugas bea cukai gak bakal lah coba jadi rakyat biasa dulu kalo mau ngalamin.","1788921346824565176","","Pepatah_dr_Chin","in","KORUPTOD KORUPTOR NGENTOD","0","1","0","https://twitter.com/opini_sampah/status/1788921346824565176","1435503704568909825","opini_sampah"
"1788921278877114428","Fri May 10 13:17:24 +0000 2024","0","Beacukai malu ga sih pak banyak yg protes pihak beacukai karna kasus ka medy ini.. Harusnya malu sih pak.. dan harusnya dibenahi secara jujur dan adil sistemnya.. Kalo masih inget Allah sih harus malu... :')","1788921278877114428","","","in","","0","0","0","https://twitter.com/yeastruggle/status/1788921278877114428","3854250552","yeastruggle"
"1788915931877671275","Fri May 10 13:16:46 +0000 2024","7","@OposisiCerdas Supaya nga malu lah... bahwa di bawah doi swmua baik baik aja... bahkan utang yang ufa gali lobang tutup jurang aja doi bil aman.... gila bener... makanya genjot bea cukai pajak untuk kejar WP... payah....","1788921122597351590","","OposisiCerdas","in","","0","0","0","https://twitter.com/jangjiansing/status/1788921122597351590","1603554694944522240","jangjiansing"
"1788816503095300284","Fri May 10 13:16:12 +0000 2024","0","@medyrenaldy_ Bea Cukai ke @medyrenaldy_ saat ini: https://t.co/tv3j4ruO1Z","1788920977277268417","https://pbs.twimg.com/media/GNOGJe0bcAEaHvH.jpg","medyrenaldy_","in","MDN - JKT","0","0","0","https://twitter.com/heroemnur_/status/1788920977277268417","310632039","heroemnur_"
"1788902808105914784","Fri May 10 13:15:16 +0000 2024","0","@mazzini_gsp Nutupin kasus bea cukai atau kasus apa?","1788920745676157169","","mazzini_gsp","in","KDR","0","0","0","https://twitter.com/danindraiqbal/status/1788920745676157169","1273956908","danindraiqbal"
"1788872928706330624","Fri May 10 13:10:26 +0000 2024","0","@kegblgnunfaedh kmaren bea cukai mslh skrng dishub. badan intelejen negara plis bantu usut pejabat pejabat kgk jelas dong . rakyatnya yg malu jadinya klo ketemu org korea","1788919527419662617","","kegblgnunfaedh","in","","0","2","0","https://twitter.com/murdaniy5/status/1788919527419662617","1766037122115670016","murdaniy5"
"1788902997680115933","Fri May 10 13:06:54 +0000 2024","1","@reoify BEACUKAI RUINS CF‼️‼️‼️‼️","1788918636562006316","","reoify","in","ic: hontokki h: Katkat__0","0","1","0","https://twitter.com/karuaage/status/1788918636562006316","1416796415347486721","karuaage"
"1788102463343710414","Fri May 10 13:03:53 +0000 2024","1","@prastow @medyrenaldy_ Kalau mau adil mah buka dua-duanya Dari @DHLPaket dan dari @beacukaiRI @beacukaisoetta kalau emang kesalahan bukan dari pihak beacukai dan DHL Lagian aneh juga kurir DHL buka udah bener tapi pas bang medy unboxing banyak anomali yang aneh2 ","1788917880324489486","","prastow","in","Indonesia","0","0","0","https://twitter.com/nuhe_gaming/status/1788917880324489486","1343070832457748480","nuhe_gaming"
"1788102463343710414","Fri May 10 13:02:27 +0000 2024","0","@prastow @medyrenaldy_ Nah CCTV @DHLPaket udah dibuka sama @beacukaiRI @beacukaisoetta buat ngasi pembuktian kalau yang salah DHL nah selama proses kemarin yang sembarangan ngasi nilai pajak dan penyerangan dari bukan karyawan beacukai kemaren gak ada rekaman CCTV dimana barang disimpan?","1788917520243523931","","prastow","in","Indonesia","0","0","0","https://twitter.com/nuhe_gaming/status/1788917520243523931","1343070832457748480","nuhe_gaming"
